_id,service_name,sequence,name_mm,road_mm,the_geom
597,8,37,တောင်ဘက်မုခ်,ရွှေတိဂုံဘုရားလမ်း,0101000020E6100000D5E8D500A5095840A9DDAF027CCB3040
598,8,38,တောင်ဘက်မုခ်,ရွှေတိဂုံဘုရားလမ်း,0101000020E610000053245F09A40958408507CDAE7BCB3040
599,8,39,ဗဟန်းသုံးလမ်း,ဗဟန်းလမ်း,0101000020E610000089EC832C0B0A5840637AC2120FCC3040
600,8,40,ရေခဲဆိုင်,နတ်မောက်လမ်း,0101000020E6100000B1886187310A5840A987687407CD3040
601,8,41,ဂျမား,နတ်မောက်လမ်း,0101000020E61000006CE9D1544F0A5840569BFF571DCD3040
602,8,42,နတ်မောက်ကျောင်းရှေ့,နတ်မောက်လမ်း,0101000020E61000007AE1CE85910A584091B75CFDD8CC3040
603,8,43,ဆေးရုံ,နတ်မောက်လမ်း,0101000020E610000084D89942E70A5840D76A0F7BA1CC3040
604,8,44,မင်္ဂလာမွန်ဈေး,စက်ရုံလမ်း,0101000020E6100000BC5D2F4D110B58400398327040CB3040
605,8,45,မင်္ဂလာဈေး,စက်ရုံလမ်း,0101000020E6100000AE9B525E2B0B58406631B1F9B8CA3040
606,8,46,ဝါဆို,ယမုံနာလမ်း,0101000020E6100000B7B8C667B20B5840C1C8CB9A58C83040
607,8,47,သင်္ဘောကျင်း,ယမုံနာလမ်း,0101000020E610000048FDF50A0B0C5840B51B7DCC07C83040
608,8,48,ရန်ပြေ,ယမုံနာလမ်း,0101000020E6100000B32781CD390C5840C8D2872EA8C73040
609,8,49,မာန်ပြေ,ယမုံနာလမ်း,0101000020E6100000EF1B5F7B660C58400ADAE4F049C73040
610,8,50,(၃) ဂိတ်ဟောင်း,မြင်တော်သာလမ်း,0101000020E610000011AAD4EC810C584009E1D1C611C73040
611,8,51,အရှေ့ကြား,မြင်တော်သာလမ်း,0101000020E6100000938E72309B0C584046B3B27DC8C73040
